"App name","Usage time","Access count"
"Gallery","0:02:17","1"
"App Usage","0:01:13","2"
"Gmail","0:00:59","2"
"Software update","0:00:05","1"
""
"Date","Usage time"
"06/04/2023","0:04:35"
""
"Usage history, 6 April 2023"
"Created by App Usage on Thursday, 6 April 2023, 12:40 pm"
