"App name","Date","Time","Duration"
"App Usage","06/04/2023","12:40:24 pm","0:00:01"
"Gmail","06/04/2023","12:40:10 pm","0:00:13"
"App Usage","06/04/2023","12:39:47 pm","0:00:20"
"Gallery","06/04/2023","12:36:19 pm","0:02:18"
"Screen on (unlocked)","06/04/2023","12:36:01 pm","0:00:00"
"Screen on (locked)","06/04/2023","12:35:54 pm","0:00:07"
"Screen off (locked)","06/04/2023","11:51:12 am","0:44:42"
"Screen on (unlocked)","06/04/2023","11:50:49 am","0:00:00"
"Screen on (locked)","06/04/2023","11:50:45 am","0:00:04"
"Screen off (locked)","06/04/2023","11:50:31 am","0:00:14"
"Screen on (locked)","06/04/2023","11:50:30 am","0:00:01"
"Screen on (unlocked)","06/04/2023","11:50:23 am","0:00:06"
"Screen on (locked)","06/04/2023","11:50:15 am","0:00:09"
"Screen off (locked)","06/04/2023","11:49:47 am","0:00:27"
"Gmail","06/04/2023","11:49:06 am","0:00:35"
"App Usage","06/04/2023","11:48:37 am","0:00:27"
"Gmail","06/04/2023","11:48:12 am","0:00:25"
"App Usage","06/04/2023","11:47:18 am","0:00:47"
"Software update","06/04/2023","11:47:11 am","0:00:05"
"Screen on (unlocked)","06/04/2023","11:47:09 am","0:00:01"
"Screen on (locked)","06/04/2023","11:46:58 am","0:00:11"
"Device boot","06/04/2023","11:08:20 am","0:38:38"
"Device shutdown","31/03/2023","11:56:45 pm","131:11:36"
""
"Activity history, 6 April 2023"
"Created by App Usage on Thursday, 6 April 2023, 12:40 pm"
