"Date","Time","Latitude","Longitude","Accuracy(m)"
"3/28/23","11:14:00 PM","30.451945","-84.316271","13"
""
"Location history, April 6, 2023 - March 26, 2023"
"Created by App Usage on Thursday, April 6, 2023, 1:46 PM"
