"App name","Date","Time","Duration"
"App Usage","4/6/23","1:45:35 PM","0:00:01"
"Screen on (unlocked)","4/6/23","1:45:32 PM","0:00:02"
"Global Search","4/6/23","1:45:32 PM","0:00:00"
"Screen on (locked)","4/6/23","1:45:31 PM","0:00:01"
"Screen off","4/6/23","1:45:20 PM","0:00:11"
"Screen on (unlocked)","4/6/23","1:44:28 PM","0:00:51"
"Global Search","4/6/23","1:44:28 PM","0:00:00"
"Screen on (locked)","4/6/23","1:44:28 PM","0:00:00"
"Screen off (locked)","4/6/23","1:44:26 PM","0:00:02"
"Global Search","4/6/23","1:44:24 PM","0:00:01"
"App Usage","4/6/23","1:44:01 PM","0:00:18"
"Gmail","4/6/23","1:43:50 PM","0:00:11"
"App Usage","4/6/23","1:43:40 PM","0:00:09"
"Gmail","4/6/23","1:43:27 PM","0:00:13"
"App Usage","4/6/23","1:43:14 PM","0:00:12"
"Gmail","4/6/23","1:43:03 PM","0:00:11"
"App Usage","4/6/23","1:42:35 PM","0:00:25"
"Screen on (unlocked)","4/6/23","1:42:23 PM","0:00:00"
"System UI","4/6/23","1:42:18 PM","0:00:04"
"Screen on (locked)","4/6/23","1:42:18 PM","0:00:00"
"Screen off (locked)","4/6/23","1:39:22 PM","0:02:57"
"System UI","4/6/23","1:39:18 PM","0:00:04"
"YouTube","4/6/23","1:26:21 PM","0:12:57"
"Security Center","4/6/23","1:26:20 PM","0:00:01"
"Screen on (unlocked)","4/6/23","1:26:20 PM","0:00:00"
"Screen on (locked)","4/6/23","1:26:18 PM","0:00:02"
"Screen off (locked)","4/6/23","1:26:11 PM","0:00:07"
"Screen on (locked)","4/6/23","1:26:09 PM","0:00:02"
"Screen off","4/6/23","1:21:55 PM","0:04:14"
"YouTube","4/6/23","1:18:59 PM","0:02:56"
"Security Center","4/6/23","1:18:56 PM","0:00:03"
"Screen on (unlocked)","4/6/23","1:18:56 PM","0:00:01"
"Screen on (locked)","4/6/23","1:18:53 PM","0:00:03"
"Screen off","4/6/23","1:11:15 PM","0:07:38"
"Security Center","4/6/23","1:11:14 PM","0:00:01"
"YouTube","4/6/23","1:03:02 PM","0:08:12"
"Security Center","4/6/23","1:02:56 PM","0:00:06"
"Screen on (unlocked)","4/6/23","1:02:54 PM","0:00:00"
"Screen off","4/6/23","1:02:52 PM","0:00:02"
"Screen off (locked)","4/6/23","10:29:44 AM","2:33:08"
"Screen on (unlocked)","4/6/23","10:29:38 AM","0:00:01"
"Screen on (locked)","4/6/23","10:29:06 AM","0:00:31"
"Screen off (locked)","4/6/23","10:28:57 AM","0:00:09"
"App Usage","4/6/23","10:28:20 AM","0:00:09"
"Gmail","4/6/23","10:28:13 AM","0:00:07"
"App Usage","4/6/23","10:27:20 AM","0:00:52"
"Google Play Store","4/6/23","10:27:18 AM","0:00:01"
"Screen on (unlocked)","4/6/23","10:27:18 AM","0:00:00"
"Screen off","4/6/23","10:27:18 AM","0:00:01"
"Screen off (locked)","4/6/23","10:27:14 AM","0:00:03"
"Screen on (locked)","4/6/23","10:27:04 AM","0:00:11"
"Screen off (locked)","4/6/23","10:25:10 AM","0:01:54"
"Screen on (locked)","4/6/23","10:24:57 AM","0:00:12"
"Screen off","4/6/23","10:24:50 AM","0:00:07"
"Google Play Store","4/6/23","10:24:33 AM","0:00:17"
"Google Play Store","4/6/23","10:24:13 AM","0:00:01"
"Screen on (unlocked)","4/6/23","10:23:51 AM","0:00:22"
"Screen on (locked)","4/6/23","10:23:41 AM","0:00:10"
"Screen off (locked)","4/5/23","2:15:13 PM","20:08:27"
"YouTube","4/5/23","2:15:10 PM","0:00:01"
"Security Center","4/5/23","2:15:08 PM","0:00:01"
"Screen on (unlocked)","4/5/23","2:15:08 PM","0:00:00"
"Screen on (locked)","4/5/23","2:15:06 PM","0:00:02"
"Screen off (locked)","4/5/23","12:45:57 PM","1:29:08"
"YouTube","4/5/23","12:45:49 PM","0:00:08"
"Security Center","4/5/23","12:45:46 PM","0:00:03"
"Screen on (unlocked)","4/5/23","12:45:46 PM","0:00:00"
"Screen on (locked)","4/5/23","12:45:42 PM","0:00:04"
"Screen off","4/5/23","12:25:11 PM","0:20:32"
"YouTube","4/5/23","12:18:12 PM","0:06:59"
"Security Center","4/5/23","12:18:11 PM","0:00:01"
"Screen on (unlocked)","4/5/23","12:18:00 PM","0:00:01"
"Screen on (locked)","4/5/23","12:17:57 PM","0:00:03"
"Screen off (locked)","4/5/23","12:09:35 PM","0:08:21"
"Screen on (locked)","4/5/23","12:09:31 PM","0:00:05"
"Screen off (locked)","4/4/23","9:24:18 AM","26:45:13"
"YouTube","4/4/23","9:22:42 AM","0:01:27"
"Security Center","4/4/23","9:22:41 AM","0:00:01"
"Screen on (unlocked)","4/4/23","9:22:33 AM","0:00:00"
"Screen on (locked)","4/4/23","9:22:32 AM","0:00:01"
"Screen off","4/4/23","9:20:33 AM","0:01:59"
"YouTube","4/4/23","9:18:06 AM","0:01:55"
"Security Center","4/4/23","9:18:06 AM","0:00:01"
"Screen on (unlocked)","4/4/23","9:18:05 AM","0:00:00"
"Screen on (locked)","4/4/23","9:18:03 AM","0:00:02"
"Screen off","4/4/23","9:17:22 AM","0:00:41"
"Security Center","4/4/23","9:17:21 AM","0:00:00"
"YouTube","4/4/23","9:12:48 AM","0:04:33"
"YouTube","4/4/23","8:47:42 AM","0:25:05"
"Security Center","4/4/23","8:47:41 AM","0:00:01"
"Screen on (unlocked)","4/4/23","8:47:41 AM","0:00:00"
"Screen on (locked)","4/4/23","8:47:39 AM","0:00:02"
"Screen off","4/4/23","8:45:51 AM","0:01:48"
"YouTube","4/4/23","8:41:44 AM","0:04:07"
"Security Center","4/4/23","8:41:41 AM","0:00:03"
"Screen on (unlocked)","4/4/23","8:41:41 AM","0:00:00"
"Screen on (locked)","4/4/23","8:41:37 AM","0:00:04"
"Screen off","4/4/23","8:33:51 AM","0:07:46"
"YouTube","4/4/23","8:27:27 AM","0:06:24"
"Screen on (unlocked)","4/4/23","8:27:23 AM","0:00:03"
"Security Center","4/4/23","8:27:23 AM","0:00:00"
"Screen on (locked)","4/4/23","8:27:21 AM","0:00:03"
"Screen off (locked)","4/3/23","3:47:36 PM","16:39:45"
"Screen on (locked)","4/3/23","3:47:29 PM","0:00:07"
"Screen off (locked)","4/3/23","2:27:58 PM","1:19:31"
"YouTube","4/3/23","2:23:53 PM","0:04:05"
"Security Center","4/3/23","2:23:50 PM","0:00:03"
"Screen on (unlocked)","4/3/23","2:23:50 PM","0:00:00"
"Screen on (locked)","4/3/23","2:23:47 PM","0:00:03"
"Screen off","4/3/23","2:13:58 PM","0:09:49"
"Security Center","4/3/23","2:13:58 PM","0:00:00"
"YouTube","4/3/23","2:06:05 PM","0:07:52"
"Security Center","4/3/23","2:06:04 PM","0:00:01"
"Screen on (unlocked)","4/3/23","2:06:04 PM","0:00:00"
"Screen off","4/3/23","2:06:02 PM","0:00:02"
"Screen off (locked)","4/3/23","2:01:59 PM","0:04:03"
"Screen on (locked)","4/3/23","2:01:47 PM","0:00:11"
"Screen off (locked)","4/2/23","3:00:32 PM","23:01:15"
"YouTube","4/2/23","2:55:43 PM","0:04:50"
"Security Center","4/2/23","2:55:40 PM","0:00:03"
"Screen on (unlocked)","4/2/23","2:55:39 PM","0:00:01"
"Screen on (locked)","4/2/23","2:55:35 PM","0:00:04"
"Screen off","4/2/23","2:48:04 PM","0:07:31"
"Security Center","4/2/23","2:48:04 PM","0:00:00"
"YouTube","4/2/23","2:36:42 PM","0:11:22"
"Security Center","4/2/23","2:36:41 PM","0:00:01"
"Screen on (unlocked)","4/2/23","2:36:41 PM","0:00:00"
"Screen on (locked)","4/2/23","2:36:39 PM","0:00:02"
"Screen off","4/2/23","2:36:17 PM","0:00:22"
"YouTube","4/2/23","2:35:43 PM","0:00:34"
"Security Center","4/2/23","2:35:41 PM","0:00:02"
"Gmail","4/2/23","2:35:34 PM","0:00:03"
"Screen on (unlocked)","4/2/23","2:35:34 PM","0:00:01"
"Screen on (locked)","4/2/23","2:35:31 PM","0:00:03"
"Screen off (locked)","4/2/23","2:31:25 PM","0:04:05"
"Screen on (locked)","4/2/23","2:31:22 PM","0:00:03"
"Screen off","4/2/23","2:30:29 PM","0:00:54"
"Gmail","4/2/23","2:29:59 PM","0:00:30"
"Screen on (unlocked)","4/2/23","2:29:59 PM","0:00:00"
"Screen off","4/2/23","2:29:54 PM","0:00:04"
"Screen on (unlocked)","4/2/23","2:29:01 PM","0:00:53"
"Gmail","4/2/23","2:29:00 PM","0:00:00"
