Date,Time,Happiness,Activity
3/27/23,12,3,2
3/27/23,17,2,2
3/27/23,21,1,2
3/28/23,12,2,3
3/28/23,17,2,3
3/28/23,21,3,2
3/29/23,12,3,3
3/29/23,17,3,2
3/29/23,21,2,4
3/30/23,12,3,3
3/30/23,17,3,3
3/30/23,21,3,3
3/31/23,12,2,3
3/31/23,17,2,2
3/31/23,21,3,2
4/1/23,12,2,3
4/1/23,17,2,3
4/1/23,21,3,2
4/2/23,12,3,3
4/2/23,17,3,2
4/2/23,21,2,4
4/3/23,12,3,3
4/3/23,17,3,3
4/3/23,21,3,3
4/4/23,12,2,3
4/4/23,17,2,2
4/4/23,21,3,2
4/5/23,12,3,2
4/5/23,17,2,2
4/5/23,21,1,2
