"App name","Date","Time","Duration"
"Notification posted (Calendar)","4/16/23","9:00:01 PM","0:00:00"
"Screen off (locked)","4/16/23","3:28:12 PM","22:55:09"
"Screen on (locked)","4/16/23","3:28:11 PM","0:00:01"
"Screen off (locked)","4/16/23","12:24:59 PM","3:03:12"
"Business Empire","4/16/23","12:24:53 PM","0:00:02"
"Screen on (unlocked)","4/16/23","12:24:47 PM","0:00:00"
"Screen off","4/16/23","12:24:44 PM","0:00:03"
"Notification posted (App Usage)","4/16/23","9:21:59 AM","0:00:00"
"Notification posted (App Usage)","4/16/23","5:14:40 AM","0:00:00"
"Notification posted (Google Play Store)","4/15/23","11:46:51 PM","0:00:00"
"Notification posted (Calendar)","4/15/23","11:00:01 PM","0:00:00"
"Notification posted (Google)","4/15/23","10:34:04 PM","0:00:00"
"Screen off (locked)","4/15/23","10:32:25 PM","13:52:19"
"Business Empire","4/15/23","10:31:34 PM","0:00:49"
"Google Play Store","4/15/23","10:31:33 PM","0:00:01"
"Business Empire","4/15/23","10:30:56 PM","0:00:37"
"Google Play Store","4/15/23","10:30:47 PM","0:00:08"
"Chrome","4/15/23","10:30:46 PM","0:00:01"
"Business Empire","4/15/23","10:26:37 PM","0:04:09"
"Google Play Store","4/15/23","10:26:30 PM","0:00:08"
"Chrome","4/15/23","10:26:28 PM","0:00:01"
"Business Empire","4/15/23","10:25:54 PM","0:00:35"
"Screen on (unlocked)","4/15/23","10:25:51 PM","0:00:00"
"Screen on (locked)","4/15/23","10:25:46 PM","0:00:05"
"Screen off (locked)","4/15/23","10:25:06 PM","0:00:41"
"Notification posted (Google Play services)","4/15/23","10:23:48 PM","0:00:00"
"Notification posted (Google Play services)","4/15/23","10:23:31 PM","0:00:00"
"Notification posted (Google)","4/15/23","10:23:20 PM","0:00:00"
"Notification posted (Permission controller)","4/15/23","10:23:06 PM","0:00:00"
"Notification posted (Udemy)","4/15/23","10:23:05 PM","0:00:00"
"Business Empire","4/15/23","10:22:57 PM","0:02:01"
"Notification posted (Airtel)","4/15/23","10:22:57 PM","0:00:00"
"Notification posted (PUMA)","4/15/23","10:22:50 PM","0:00:00"
"Notification posted (Calendar)","4/15/23","10:22:48 PM","0:00:00"
"Notification posted (Paytm)","4/15/23","10:22:48 PM","0:00:00"
"Screen on (unlocked)","4/15/23","10:22:44 PM","0:00:00"
"Screen off","4/15/23","10:22:44 PM","0:00:01"
"Screen off (locked)","4/15/23","10:22:33 PM","0:00:11"
"Screen on (locked)","4/15/23","10:22:23 PM","0:00:10"
"Notification posted (Calendar)","4/15/23","9:45:01 AM","0:00:00"
"Notification posted (App Usage)","4/15/23","9:00:33 AM","0:00:00"
"Notification posted (App Usage)","4/15/23","5:21:55 AM","0:00:00"
"Notification posted (Paytm)","4/14/23","11:33:46 PM","0:00:00"
"Screen off (locked)","4/14/23","11:04:04 PM","23:18:20"
"Screen on (locked)","4/14/23","11:04:02 PM","0:00:01"
"Screen off (locked)","4/14/23","10:35:17 PM","0:28:45"
"Screen on (locked)","4/14/23","10:35:07 PM","0:00:10"
"Screen off (locked)","4/14/23","10:07:47 PM","0:27:20"
"Screen on (unlocked)","4/14/23","10:07:35 PM","0:00:00"
"Screen off","4/14/23","10:07:35 PM","0:00:00"
"Screen off (locked)","4/14/23","10:07:01 PM","0:00:34"
"Screen on (unlocked)","4/14/23","10:06:23 PM","0:00:00"
"Screen off","4/14/23","10:06:23 PM","0:00:00"
"Screen off (locked)","4/14/23","10:05:09 PM","0:01:14"
"Screen on (locked)","4/14/23","10:05:08 PM","0:00:01"
"Screen off (locked)","4/14/23","10:04:54 PM","0:00:14"
"Discord","4/14/23","10:04:22 PM","0:00:19"
"Screen on (unlocked)","4/14/23","10:04:14 PM","0:00:00"
"Screen on (locked)","4/14/23","10:04:10 PM","0:00:03"
"Notification posted (Google Play services)","4/14/23","10:03:50 PM","0:00:00"
"Screen off (locked)","4/14/23","10:03:43 PM","0:00:27"
"Notification posted (GPay)","4/14/23","9:59:41 PM","0:00:00"
"Business Empire","4/14/23","9:59:39 PM","0:04:02"
"Notification posted (Google)","4/14/23","9:59:39 PM","0:00:00"
"Screen on (unlocked)","4/14/23","9:59:33 PM","0:00:00"
"Screen off","4/14/23","9:59:33 PM","0:00:01"
"Notification posted (Calendar)","4/14/23","2:58:48 PM","0:00:00"
"Notification posted (Calendar)","4/14/23","10:50:01 AM","0:00:00"
"Screen off (locked)","4/14/23","10:47:58 AM","11:11:35"
"Screen on (locked)","4/14/23","10:47:57 AM","0:00:01"
"Screen off (locked)","4/14/23","10:41:49 AM","0:06:08"
"Business Empire","4/14/23","10:29:06 AM","0:12:36"
"Notification posted (Photos)","4/14/23","10:26:55 AM","0:00:00"
"Notification posted (Airtel)","4/14/23","10:26:53 AM","0:00:00"
"Notification posted (Calendar)","4/14/23","10:26:52 AM","0:00:00"
"Screen on (unlocked)","4/14/23","10:26:48 AM","0:00:00"
"Screen off","4/14/23","10:26:45 AM","0:00:03"
"Notification posted (Google Play Store)","4/14/23","7:59:18 AM","0:00:00"
"Notification posted (Google Play services)","4/14/23","7:59:15 AM","0:00:00"
"Notification posted (App Usage)","4/14/23","5:04:39 AM","0:00:00"
"Notification posted (Google Play services)","4/14/23","5:04:36 AM","0:00:00"
"Notification posted (Google Play Store)","4/14/23","5:04:33 AM","0:00:00"
"Notification posted (Google Play services)","4/14/23","5:04:30 AM","0:00:00"
"Notification posted (Amazon Shopping)","4/14/23","5:04:11 AM","0:00:00"
"Screen off (locked)","4/13/23","10:07:40 PM","12:19:05"
"Notification posted (Amazon Shopping)","4/13/23","10:07:33 PM","0:00:00"
"Notification posted (Upstox)","4/13/23","10:07:32 PM","0:00:00"
"Notification posted (Paytm)","4/13/23","10:07:31 PM","0:00:00"
"Screen on (unlocked)","4/13/23","10:07:28 PM","0:00:00"
"Screen off","4/13/23","10:07:28 PM","0:00:01"
"Screen off (locked)","4/13/23","9:41:40 PM","0:25:48"
"Screen on (locked)","4/13/23","9:41:30 PM","0:00:10"
"Notification posted (Google)","4/13/23","8:14:02 PM","0:00:00"
"Notification posted (Amazon Shopping)","4/13/23","7:15:00 PM","0:00:00"
"Notification posted (Amazon Shopping)","4/13/23","6:56:15 PM","0:00:00"
"Screen off (locked)","4/13/23","6:53:10 PM","2:48:20"
"Screen on (locked)","4/13/23","6:53:03 PM","0:00:06"
"Screen off (locked)","4/13/23","6:53:02 PM","0:00:01"
"Screen on (unlocked)","4/13/23","6:52:58 PM","0:00:00"
"Screen off","4/13/23","6:52:58 PM","0:00:00"
"Screen off (locked)","4/13/23","6:51:38 PM","0:01:21"
"Screen on (locked)","4/13/23","6:51:34 PM","0:00:04"
"Notification posted (Amazon Shopping)","4/13/23","6:50:02 PM","0:00:00"
"Notification posted (Calendar)","4/13/23","6:50:01 PM","0:00:00"
"Screen off (locked)","4/13/23","6:48:32 PM","0:03:02"
"Notification posted (Google Play services)","4/13/23","6:47:15 PM","0:00:00"
"Notification posted (Google Play services)","4/13/23","6:47:10 PM","0:00:00"
"Gallery","4/13/23","6:39:21 PM","0:09:01"
"applocker","4/13/23","6:39:11 PM","0:00:09"
"Screen on (unlocked)","4/13/23","6:38:50 PM","0:00:21"
"Screen on (locked)","4/13/23","6:38:38 PM","0:00:12"
"Screen off (locked)","4/13/23","6:38:36 PM","0:00:02"
"Screen on (locked)","4/13/23","6:38:21 PM","0:00:15"
"Screen off (locked)","4/13/23","6:38:20 PM","0:00:01"
"Screen on (locked)","4/13/23","6:37:51 PM","0:00:29"
"Screen off (locked)","4/13/23","6:35:03 PM","0:02:48"
"Screen on (unlocked)","4/13/23","6:35:01 PM","0:00:00"
"Screen on (locked)","4/13/23","6:34:57 PM","0:00:04"
"Screen off (locked)","4/13/23","6:34:56 PM","0:00:02"
"Screen on (unlocked)","4/13/23","6:34:54 PM","0:00:00"
"Screen off","4/13/23","6:34:53 PM","0:00:00"
"Screen off (locked)","4/13/23","6:34:52 PM","0:00:01"
"Screen on (unlocked)","4/13/23","6:34:50 PM","0:00:00"
"Screen on (locked)","4/13/23","6:34:45 PM","0:00:05"
"Screen off (locked)","4/13/23","6:34:43 PM","0:00:02"
"Notification posted (H&M)","4/13/23","6:34:35 PM","0:00:00"
"Screen on (unlocked)","4/13/23","6:34:24 PM","0:00:00"
"Screen off","4/13/23","6:34:23 PM","0:00:00"
"Screen off (locked)","4/13/23","5:54:49 PM","0:39:35"
