"App name","Date","Time","Duration"
"App Usage","4/5/23","10:07:11 PM","0:01:01"
"Screen on (unlocked)","4/5/23","10:07:11 PM","0:00:00"
"Screen off","4/5/23","10:07:08 PM","0:00:03"
"App Usage","4/5/23","10:05:11 PM","0:01:57"
"Gmail","4/5/23","10:04:20 PM","0:00:51"
"Screen on (unlocked)","4/5/23","10:04:20 PM","0:00:00"
"Screen off","4/5/23","10:04:18 PM","0:00:02"
"Gmail","4/5/23","10:03:48 PM","0:00:30"
"App Usage","4/5/23","10:01:27 PM","0:02:08"
"Screen on (unlocked)","4/5/23","10:01:26 PM","0:00:00"
"Screen off","4/5/23","10:01:22 PM","0:00:04"
"App Usage","4/5/23","10:00:27 PM","0:00:55"
"Screen on (unlocked)","4/5/23","10:00:01 PM","0:00:25"
"Screen on (locked)","4/5/23","9:59:58 PM","0:00:04"
"Screen off","4/5/23","9:58:23 PM","0:01:35"
"Gmail","4/5/23","9:57:48 PM","0:00:05"
"Screen on (unlocked)","4/5/23","9:57:44 PM","0:00:00"
"Screen on (locked)","4/5/23","9:57:41 PM","0:00:03"
"Screen off","4/5/23","9:18:22 PM","0:39:19"
"Screen on (unlocked)","4/5/23","9:17:51 PM","0:00:00"
"Screen on (locked)","4/5/23","9:17:48 PM","0:00:03"
"Screen off","4/5/23","7:29:42 PM","1:48:06"
"Screen on (unlocked)","4/5/23","7:29:11 PM","0:00:00"
"Screen on (locked)","4/5/23","7:29:08 PM","0:00:03"
"Screen off","4/5/23","6:47:53 PM","0:41:14"
"Screen on (unlocked)","4/5/23","6:47:22 PM","0:00:31"
"Screen on (locked)","4/5/23","6:47:19 PM","0:00:03"
"Screen off (locked)","4/5/23","6:35:19 PM","0:12:00"
"Call","4/5/23","6:35:11 PM","0:00:08"
"Screen on (locked)","4/5/23","6:35:11 PM","0:00:00"
"Screen off (locked)","4/5/23","6:30:53 PM","0:04:19"
"Call","4/5/23","6:30:09 PM","0:00:44"
"Screen on (locked)","4/5/23","6:30:09 PM","0:00:00"
"Screen off","4/5/23","6:26:54 PM","0:03:14"
"Gmail","4/5/23","6:26:21 PM","0:00:04"
"Gmail","4/5/23","6:26:16 PM","0:00:01"
"Google","4/5/23","6:26:07 PM","0:00:04"
"Screen on (unlocked)","4/5/23","6:26:03 PM","0:00:00"
"Screen on (locked)","4/5/23","6:25:59 PM","0:00:03"
"Screen off","4/5/23","6:00:35 PM","0:25:25"
"YouTube","4/5/23","5:59:59 PM","0:00:01"
"YouTube","4/5/23","5:59:52 PM","0:00:01"
"Google","4/5/23","5:59:10 PM","0:00:17"
"Google","4/5/23","5:58:20 PM","0:00:49"
"Google","4/5/23","5:57:58 PM","0:00:06"
"Chrome","4/5/23","5:57:52 PM","0:00:06"
"Google","4/5/23","5:57:30 PM","0:00:22"
"Chrome","4/5/23","5:55:28 PM","0:02:02"
"Google","4/5/23","5:55:15 PM","0:00:13"
"Chrome","4/5/23","5:55:08 PM","0:00:07"
"Google","4/5/23","5:54:42 PM","0:00:26"
"Google","4/5/23","5:54:29 PM","0:00:11"
"Gmail","4/5/23","5:54:21 PM","0:00:06"
"Gmail","4/5/23","5:54:17 PM","0:00:01"
"Call","4/5/23","5:53:38 PM","0:00:35"
"Phone","4/5/23","5:53:19 PM","0:00:19"
"Google","4/5/23","5:53:14 PM","0:00:05"
"Phone","4/5/23","5:53:10 PM","0:00:02"
"Screen on (unlocked)","4/5/23","5:53:10 PM","0:00:00"
"Screen on (locked)","4/5/23","5:53:06 PM","0:00:04"
"Screen off","4/5/23","5:39:01 PM","0:14:06"
"Phone","4/5/23","5:38:30 PM","0:00:31"
"Call","4/5/23","5:38:25 PM","0:00:05"
"Screen on (unlocked)","4/5/23","5:38:25 PM","0:00:00"
"Screen off","4/5/23","5:38:17 PM","0:00:08"
"Call","4/5/23","5:37:45 PM","0:00:32"
"Phone","4/5/23","5:37:25 PM","0:00:20"
"Call","4/5/23","5:37:20 PM","0:00:05"
"Screen on (unlocked)","4/5/23","5:37:20 PM","0:00:00"
"Screen off","4/5/23","5:35:40 PM","0:01:41"
"Call","4/5/23","5:35:07 PM","0:00:32"
"Phone","4/5/23","5:35:05 PM","0:00:02"
"Call","4/5/23","5:34:26 PM","0:00:38"
"Phone","4/5/23","5:34:14 PM","0:00:12"
"Screen on (unlocked)","4/5/23","5:34:02 PM","0:00:00"
"Screen on (locked)","4/5/23","5:33:51 PM","0:00:11"
"Screen off","4/5/23","5:22:50 PM","0:11:02"
"Gmail","4/5/23","5:22:17 PM","0:00:01"
"YouTube","4/5/23","5:22:12 PM","0:00:01"
"Message+","4/5/23","5:21:14 PM","0:00:56"
"Screen on (unlocked)","4/5/23","5:21:10 PM","0:00:00"
"Screen on (locked)","4/5/23","5:21:05 PM","0:00:05"
"Screen off","4/5/23","5:05:13 PM","0:15:52"
"Gmail","4/5/23","5:03:50 PM","0:00:52"
"Gmail","4/5/23","5:03:47 PM","0:00:01"
"Message+","4/5/23","5:03:23 PM","0:00:20"
"Screen on (unlocked)","4/5/23","5:03:23 PM","0:00:00"
"Screen on (locked)","4/5/23","5:03:19 PM","0:00:03"
"Screen off","4/5/23","4:56:06 PM","0:07:13"
"Message+","4/5/23","4:55:17 PM","0:00:49"
"Screen on (unlocked)","4/5/23","4:55:16 PM","0:00:00"
"Screen on (locked)","4/5/23","4:55:12 PM","0:00:03"
"Screen off","4/5/23","3:24:52 PM","1:30:21"
"Message+","4/5/23","3:24:04 PM","0:00:17"
"Screen on (unlocked)","4/5/23","3:24:01 PM","0:00:00"
"Screen on (locked)","4/5/23","3:23:57 PM","0:00:03"
"Screen off","4/5/23","2:29:14 PM","0:54:44"
"Message+","4/5/23","2:27:43 PM","0:01:00"
"Message+","4/5/23","2:27:41 PM","0:00:01"
"Screen on (unlocked)","4/5/23","2:27:37 PM","0:00:01"
"Screen on (locked)","4/5/23","2:27:33 PM","0:00:04"
"Screen off","4/5/23","7:00:29 AM","7:27:04"
"Screen on (unlocked)","4/5/23","6:59:55 AM","0:00:34"
"Screen on (locked)","4/5/23","6:59:52 AM","0:00:03"
"Screen off","4/4/23","10:21:58 PM","8:37:54"
"Google","4/4/23","10:21:23 PM","0:00:04"
"Screen on (unlocked)","4/4/23","10:21:18 PM","0:00:01"
"Screen on (locked)","4/4/23","10:21:15 PM","0:00:04"
"Screen off","4/4/23","9:52:42 PM","0:28:33"
"YouTube","4/4/23","9:08:46 PM","0:43:16"
"Gmail","4/4/23","9:07:53 PM","0:00:47"
"Photos","4/4/23","9:02:04 PM","0:05:42"
"Weather","4/4/23","9:01:55 PM","0:00:01"
"Screen on (unlocked)","4/4/23","9:01:54 PM","0:00:00"
"Screen off","4/4/23","9:01:51 PM","0:00:03"
"Google","4/4/23","9:00:20 PM","0:01:01"
"Chrome","4/4/23","9:00:15 PM","0:00:05"
"Google","4/4/23","9:00:02 PM","0:00:13"
"Chrome","4/4/23","8:59:55 PM","0:00:07"
"Google","4/4/23","8:59:54 PM","0:00:01"
"Chrome","4/4/23","8:59:48 PM","0:00:06"
"Google","4/4/23","8:59:16 PM","0:00:32"
"Screen on (unlocked)","4/4/23","8:59:13 PM","0:00:00"
"Screen on (locked)","4/4/23","8:59:09 PM","0:00:04"
"Screen off (locked)","4/4/23","8:49:18 PM","0:09:51"
"Screen on (locked)","4/4/23","8:49:13 PM","0:00:05"
"Screen off","4/4/23","8:41:29 PM","0:07:44"
"Google","4/4/23","8:40:54 PM","0:00:05"
"Chrome","4/4/23","8:40:38 PM","0:00:16"
"Google","4/4/23","8:40:19 PM","0:00:19"
"Chrome","4/4/23","8:40:04 PM","0:00:15"
"Google","4/4/23","8:39:39 PM","0:00:25"
"Google","4/4/23","8:38:53 PM","0:00:44"
"Chrome","4/4/23","8:38:11 PM","0:00:39"
"Screen on (unlocked)","4/4/23","8:38:11 PM","0:00:00"
"Screen on (locked)","4/4/23","8:38:08 PM","0:00:03"
"Screen off","4/4/23","8:37:57 PM","0:00:11"
"Chrome","4/4/23","8:37:26 PM","0:00:30"
"Google","4/4/23","8:35:40 PM","0:01:46"
"Screen on (unlocked)","4/4/23","8:35:38 PM","0:00:00"
"Screen on (locked)","4/4/23","8:35:35 PM","0:00:03"
"Screen off","4/4/23","8:29:17 PM","0:06:18"
"Google","4/4/23","8:28:41 PM","0:00:06"
"Google","4/4/23","8:28:36 PM","0:00:03"
"Chrome","4/4/23","8:28:09 PM","0:00:27"
"Screen on (unlocked)","4/4/23","8:28:09 PM","0:00:00"
"Screen on (locked)","4/4/23","8:28:04 PM","0:00:05"
"Screen off","4/4/23","8:27:59 PM","0:00:05"
"Chrome","4/4/23","8:27:24 PM","0:00:34"
"Google","4/4/23","8:25:56 PM","0:01:28"
"Chrome","4/4/23","8:20:29 PM","0:05:28"
"Google","4/4/23","8:19:54 PM","0:00:35"
"Screen on (unlocked)","4/4/23","8:19:52 PM","0:00:01"
"Screen on (locked)","4/4/23","8:19:48 PM","0:00:04"
"Screen off","4/4/23","8:14:10 PM","0:05:38"
"Chrome","4/4/23","8:12:45 PM","0:00:49"
"Google","4/4/23","8:11:39 PM","0:01:06"
"Screen on (unlocked)","4/4/23","8:11:36 PM","0:00:00"
"Screen on (locked)","4/4/23","8:11:31 PM","0:00:04"
"Screen off","4/4/23","8:11:10 PM","0:00:22"
"Google","4/4/23","8:10:03 PM","0:00:36"
"Chrome","4/4/23","8:07:33 PM","0:02:23"
"Google","4/4/23","8:07:15 PM","0:00:18"
"Google","4/4/23","8:06:47 PM","0:00:25"
"Chrome","4/4/23","8:05:21 PM","0:01:26"
"Google","4/4/23","8:05:11 PM","0:00:10"
"Screen on (unlocked)","4/4/23","8:05:10 PM","0:00:00"
"Screen on (locked)","4/4/23","8:05:07 PM","0:00:04"
"Screen off","4/4/23","8:04:28 PM","0:00:38"
"Google","4/4/23","8:03:56 PM","0:00:32"
"Chrome","4/4/23","8:03:07 PM","0:00:49"
"Google","4/4/23","8:02:48 PM","0:00:19"
"YouTube","4/4/23","8:02:44 PM","0:00:03"
"Gmail","4/4/23","8:02:36 PM","0:00:05"
"Chrome","4/4/23","8:01:31 PM","0:01:00"
"Google","4/4/23","8:01:16 PM","0:00:16"
"Screen on (unlocked)","4/4/23","8:01:15 PM","0:00:00"
"Screen on (locked)","4/4/23","8:01:11 PM","0:00:05"
"Screen off","4/4/23","8:00:30 PM","0:00:41"
"Google","4/4/23","7:59:59 PM","0:00:31"
