"Date","Time","Latitude","Longitude","Accuracy(m)"
"4/5/23","2:04:44 PM","39.747748","-105.010024","2000"
""
"Location history, April 5, 2023 - March 17, 2023"
"Created by App Usage on Wednesday, April 5, 2023, 2:06 PM"
