"App name","Date","Time","Duration"
"App Usage","06/04/23","10:42:01 pm","0:00:01"
"WhatsApp","06/04/23","10:41:52 pm","0:00:09"
"App Usage","06/04/23","10:41:38 pm","0:00:12"
"WhatsApp","06/04/23","10:41:35 pm","0:00:03"
"Screen on (unlocked)","06/04/23","10:41:35 pm","0:00:00"
"Screen off","06/04/23","10:41:34 pm","0:00:01"
"Screen off (locked)","06/04/23","10:41:25 pm","0:00:09"
"WhatsApp","06/04/23","10:40:48 pm","0:00:37"
"App Usage","06/04/23","10:40:29 pm","0:00:16"
"App Usage","06/04/23","10:40:02 pm","0:00:23"
"WhatsApp","06/04/23","10:38:36 pm","0:01:27"
"App Usage","06/04/23","10:37:56 pm","0:00:37"
"WhatsApp","06/04/23","10:36:55 pm","0:00:58"
"Screen on (unlocked)","06/04/23","10:36:53 pm","0:00:02"
"WhatsApp","06/04/23","10:36:28 pm","0:00:24"
"Screen on (locked)","06/04/23","10:36:27 pm","0:00:00"
"Screen off (locked)","06/04/23","10:36:27 pm","0:00:01"
"Screen on (unlocked)","06/04/23","10:35:49 pm","0:00:00"
"Screen off","06/04/23","10:35:48 pm","0:00:01"
"Screen off (locked)","06/04/23","10:34:30 pm","0:01:19"
"HDFC Bank","06/04/23","10:33:20 pm","0:00:29"
"GPay","06/04/23","10:32:31 pm","0:00:37"
"HDFC Bank","06/04/23","10:32:02 pm","0:00:25"
"PhonePe","06/04/23","10:31:53 pm","0:00:01"
"Bethel","06/04/23","10:31:41 pm","0:00:10"
"Calendar","06/04/23","10:31:41 pm","0:00:01"
"Permission controller","06/04/23","10:31:40 pm","0:00:01"
"PhonePe","06/04/23","10:31:31 pm","0:00:06"
"WhatsApp","06/04/23","10:31:26 pm","0:00:02"
"Screen on (unlocked)","06/04/23","10:31:26 pm","0:00:00"
"Screen off","06/04/23","10:31:26 pm","0:00:00"
"Screen off (locked)","06/04/23","10:31:12 pm","0:00:15"
"WhatsApp","06/04/23","10:30:39 pm","0:00:33"
"Gmail","06/04/23","10:29:42 pm","0:00:57"
"Security","06/04/23","10:29:40 pm","0:00:01"
"WhatsApp","06/04/23","10:29:26 pm","0:00:14"
"Screen on (unlocked)","06/04/23","10:29:26 pm","0:00:00"
"Screen off","06/04/23","10:29:26 pm","0:00:00"
"Screen off (locked)","06/04/23","10:29:06 pm","0:00:20"
"WhatsApp","06/04/23","10:27:43 pm","0:01:22"
"Screen on (unlocked)","06/04/23","10:27:39 pm","0:00:01"
"Screen off","06/04/23","10:27:39 pm","0:00:00"
"Screen off (locked)","06/04/23","10:23:02 pm","0:04:37"
"Screen on (locked)","06/04/23","10:22:51 pm","0:00:10"
"Screen off (locked)","06/04/23","10:21:05 pm","0:01:46"
"Screen on (locked)","06/04/23","10:20:55 pm","0:00:10"
"Screen off (locked)","06/04/23","10:20:17 pm","0:00:38"
"Screen on (locked)","06/04/23","10:20:07 pm","0:00:09"
"Screen off (locked)","06/04/23","10:15:47 pm","0:04:20"
"Screen on (locked)","06/04/23","10:15:37 pm","0:00:10"
"Screen off (locked)","06/04/23","10:14:17 pm","0:01:20"
"Screen on (locked)","06/04/23","10:14:12 pm","0:00:05"
"Screen off (locked)","06/04/23","10:14:08 pm","0:00:04"
"Screen on (locked)","06/04/23","10:13:49 pm","0:00:19"
"Screen off (locked)","06/04/23","10:13:46 pm","0:00:03"
