"Date","Time","Latitude","Longitude","Accuracy(m)"
"16/04/2023","15:57:19","30.451937","-84.316269","18"
"16/04/2023","14:57:16","30.448833","-84.317578","68"
"16/04/2023","00:00:42","30.451861","-84.316297","29"
"15/04/2023","22:26:25","30.449222","-84.331263","25"
"15/04/2023","22:00:39","30.444977","-84.297347","17"
"15/04/2023","21:00:59","30.451051","-84.317881","1399"
"15/04/2023","18:58:34","30.437403","-84.305334","23"
"15/04/2023","17:57:40","30.443518","-84.301438","1299"
"15/04/2023","17:48:43","30.444551","-84.308673","1200"
"15/04/2023","17:36:09","30.443518","-84.301438","1299"
"15/04/2023","17:10:38","30.435709","-84.303411","1299"
"15/04/2023","17:09:04","30.443518","-84.301438","1299"
"15/04/2023","13:07:37","30.437793","-84.305741","83"
"15/04/2023","12:57:11","30.435709","-84.303411","1299"
"15/04/2023","12:50:01","30.443518","-84.301438","1299"
"15/04/2023","12:25:28","30.438124","-84.305760","25"
"15/04/2023","12:20:20","30.443518","-84.301438","1299"
"15/04/2023","11:30:12","30.445001","-84.297411","13"
"14/04/2023","21:16:38","30.451874","-84.316283","15"
"14/04/2023","21:14:05","30.453880","-84.308673","1299"
"14/04/2023","19:56:01","30.451911","-84.316243","13"
"14/04/2023","19:23:44","30.461148","-84.216823","48"
"14/04/2023","18:21:10","30.460190","-84.211527","33"
"14/04/2023","17:39:52","30.451051","-84.317881","1399"
"14/04/2023","17:20:09","30.460817","-84.221457","1600"
"14/04/2023","17:19:28","30.461047","-84.225363","9"
"14/04/2023","13:19:57","30.436801","-84.261623","5"
"14/04/2023","01:19:28","30.451862","-84.316301","20"
"14/04/2023","00:49:11","30.453880","-84.308673","1299"
"14/04/2023","00:10:05","30.451847","-84.316334","12"
"13/04/2023","23:45:03","30.453880","-84.308673","1299"
"13/04/2023","23:30:50","30.448301","-84.317087","4"
"13/04/2023","23:08:30","30.449756","-84.306636","47"
"13/04/2023","22:55:33","30.444835","-84.297047","21"
"13/04/2023","16:49:09","30.438555","-84.290069","18"
"13/04/2023","15:48:41","30.436082","-84.295517","1299"
